name	chr	start	end	TargetGene
genic|chr4:5752322-5753244	chr4	5752322	5753244	EVC2
promoter|chr1:92831751-92832524	chr1	92831751	92832524	RPL5
genic|chr11:61701277-61701777	chr11	61701277	61701777	MYRF
genic|chr4:5747336-5748047	chr4	5747336	5748047	EVC2
genic|chr3:71423464-71423964	chr3	71423464	71423964	FOXP1
genic|chr4:5729068-5729568	chr4	5729068	5729568	EVC2
promoter|chr20:10673796-10674352	chr20	10673796	10674352	JAG1
genic|chr3:71423465-71423965	chr3	71423465	71423965	FOXP1
genic|chr4:5716253-5716753	chr4	5716253	5716753	EVC2
genic|chr4:5716251-5716751	chr4	5716251	5716751	EVC2
genic|chr4:5706439-5706939	chr4	5706439	5706939	EVC2
genic|chr4:5706435-5706935	chr4	5706435	5706935	EVC2
genic|chr4:5706408-5706908	chr4	5706408	5706908	EVC2
genic|chr4:5705945-5706445	chr4	5705945	5706445	EVC2
promoter|chr5:122076583-122078751	chr5	122076583	122078751	LOX
intergenic|chr7:35254648-35255148	chr7	35254648	35255148	TBX20
genic|chr4:5705891-5706391	chr4	5705891	5706391	EVC2
promoter|chr5:122076570-122078751	chr5	122076570	122078751	LOX
genic|chr4:5747355-5747855	chr4	5747355	5747855	EVC2
genic|chr4:5747622-5748122	chr4	5747622	5748122	EVC2
genic|chr1:226872515-226873015	chr1	226872515	226873015	PSEN2
genic|chr4:5705879-5706379	chr4	5705879	5706379	EVC2
intergenic|chr10:70477753-70478253	chr10	70477753	70478253	NODAL
genic|chr4:5705878-5706378	chr4	5705878	5706378	EVC2
genic|chr4:5747695-5748446	chr4	5747695	5748446	EVC2
genic|chr14:23401261-23401761	chr14	23401261	23401761	MYH6
genic|chr4:5747344-5748488	chr4	5747344	5748488	EVC2
genic|chr14:23423352-23424454	chr14	23423352	23424454	MYH7
genic|chr14:103576549-103577049	chr14	103576549	103577049	BAG5
genic|chr14:103576542-103577042	chr14	103576542	103577042	BAG5
genic|chr14:23423355-23424431	chr14	23423355	23424431	MYH7
genic|chr11:61731815-61732315	chr11	61731815	61732315	MYRF
genic|chr11:61731816-61732316	chr11	61731816	61732316	MYRF
genic|chr11:61731817-61732317	chr11	61731817	61732317	MYRF
genic|chr14:23423357-23425369	chr14	23423357	23425369	MYH7
genic|chr14:23423361-23424406	chr14	23423361	23424406	MYH7
genic|chr14:23423365-23425306	chr14	23423365	23425306	MYH7
intergenic|chr15:96356813-96357313	chr15	96356813	96357313	NR2F2
genic|chr9:130869118-130869618	chr9	130869118	130869618	ABL1
promoter|chr21:33541908-33543745	chr21	33541908	33543745	SON
genic|chr9:130869116-130869616	chr9	130869116	130869616	ABL1
promoter|chr21:33541908-33543747	chr21	33541908	33543747	SON
intergenic|chr8:60651489-60652570	chr8	60651489	60652570	CHD7
genic|chr11:61731824-61732324	chr11	61731824	61732324	MYRF
promoter|chr21:33541908-33543749	chr21	33541908	33543749	SON
genic|chr9:130869106-130869606	chr9	130869106	130869606	ABL1
promoter|chr21:33541908-33543750	chr21	33541908	33543750	SON
genic|chr14:23424452-23425365	chr14	23424452	23425365	MYH7
promoter|chr21:33541908-33543753	chr21	33541908	33543753	SON
genic|chr14:23423379-23425305	chr14	23423379	23425305	MYH7
promoter|chr4:48780049-48780645	chr4	48780049	48780645	FRYL
genic|chr14:23420619-23421119	chr14	23420619	23421119	MYH6
promoter|chr4:48780049-48780639	chr4	48780049	48780639	FRYL
intergenic|chr19:8154769-8155269	chr19	8154769	8155269	FBN3
promoter|chr21:33541908-33543535	chr21	33541908	33543535	SON
promoter|chr4:48780049-48780636	chr4	48780049	48780636	FRYL
genic|chr14:23423328-23424105	chr14	23423328	23424105	MYH7
promoter|chr4:48780049-48780633	chr4	48780049	48780633	FRYL
genic|chr14:23423339-23424382	chr14	23423339	23424382	MYH7
genic|chr14:23423342-23424373	chr14	23423342	23424373	MYH7
promoter|chr4:48780049-48780617	chr4	48780049	48780617	FRYL
promoter|chr4:48780049-48780623	chr4	48780049	48780623	FRYL
intergenic|chr19:8154773-8155273	chr19	8154773	8155273	FBN3
genic|chr11:61731798-61732298	chr11	61731798	61732298	MYRF
genic|chr9:136539655-136540155	chr9	136539655	136540155	NOTCH1
genic|chr14:23423347-23424425	chr14	23423347	23424425	MYH7
genic|chr3:71542500-71543000	chr3	71542500	71543000	FOXP1
promoter|chr21:33541908-33543739	chr21	33541908	33543739	SON
genic|chr14:23423350-23425318	chr14	23423350	23425318	MYH7
genic|chr20:10671347-10671847	chr20	10671347	10671847	JAG1
genic|chr14:23423352-23424422	chr14	23423352	23424422	MYH7
genic|chr14:103576552-103577052	chr14	103576552	103577052	BAG5
genic|chr14:103576556-103577056	chr14	103576556	103577056	BAG5
genic|chr1:236688646-236689146	chr1	236688646	236689146	ACTN2
genic|chr3:71542521-71543021	chr3	71542521	71543021	FOXP1
genic|chr4:55104100-55104600	chr4	55104100	55104600	KDR
intergenic|chr3:142987048-142987548	chr3	142987048	142987548	U2SURP
intergenic|chr3:142987054-142987554	chr3	142987054	142987554	U2SURP
intergenic|chr19:8158408-8158908	chr19	8158408	8158908	FBN3
genic|chr11:61732639-61733139	chr11	61732639	61733139	MYRF
intergenic|chr10:70430471-70430971	chr10	70430471	70430971	NODAL
genic|chr14:103530350-103530850	chr14	103530350	103530850	BAG5
genic|chr14:103530349-103530849	chr14	103530349	103530849	BAG5
genic|chr14:23424462-23425321	chr14	23424462	23425321	MYH7
intergenic|chr10:70430440-70430940	chr10	70430440	70430940	NODAL
genic|chr1:236688659-236689159	chr1	236688659	236689159	ACTN2
genic|chr3:71542552-71543052	chr3	71542552	71543052	FOXP1
genic|chr20:10671352-10671852	chr20	10671352	10671852	JAG1
intergenic|chr8:11697235-11697735	chr8	11697235	11697735	GATA4
genic|chr4:55103220-55103720	chr4	55103220	55103720	KDR
intergenic|chr3:142987579-142988079	chr3	142987579	142988079	U2SURP
intergenic|chr4:165783598-165784098	chr4	165783598	165784098	TLL1
promoter|chr22:20981710-20982518	chr22	20981710	20982518	LZTR1
promoter|chr4:48779183-48779958	chr4	48779183	48779958	FRYL
intergenic|chr7:35263345-35263845	chr7	35263345	35263845	TBX20
intergenic|chr10:70430447-70430947	chr10	70430447	70430947	NODAL
promoter|chr21:33541908-33543757	chr21	33541908	33543757	SON
promoter|chr5:122078196-122078751	chr5	122078196	122078751	LOX
promoter|chr21:33541908-33543759	chr21	33541908	33543759	SON
genic|chr14:23424462-23425358	chr14	23424462	23425358	MYH7
genic|chr14:103571952-103572452	chr14	103571952	103572452	BAG5
genic|chr14:103571950-103572450	chr14	103571950	103572450	BAG5
promoter|chr21:33541908-33543763	chr21	33541908	33543763	SON
promoter|chr21:33541908-33543764	chr21	33541908	33543764	SON
genic|chr3:71542506-71543006	chr3	71542506	71543006	FOXP1
genic|chr14:23424463-23425388	chr14	23424463	23425388	MYH7
genic|chr14:103571943-103572443	chr14	103571943	103572443	BAG5
genic|chr1:236688643-236689143	chr1	236688643	236689143	ACTN2
genic|chr9:136539682-136540182	chr9	136539682	136540182	NOTCH1
genic|chr3:71542514-71543014	chr3	71542514	71543014	FOXP1
genic|chr14:23424482-23425344	chr14	23424482	23425344	MYH7
genic|chr9:130866375-130866875	chr9	130866375	130866875	ABL1
intergenic|chr3:142987031-142987531	chr3	142987031	142987531	U2SURP
intergenic|chr3:142987033-142987533	chr3	142987033	142987533	U2SURP
genic|chr3:71542517-71543017	chr3	71542517	71543017	FOXP1
intergenic|chr3:142987039-142987539	chr3	142987039	142987539	U2SURP
genic|chr1:236688638-236689138	chr1	236688638	236689138	ACTN2
genic|chr3:71542518-71543018	chr3	71542518	71543018	FOXP1
intergenic|chr3:142987042-142987542	chr3	142987042	142987542	U2SURP
genic|chr9:136539674-136540174	chr9	136539674	136540174	NOTCH1
promoter|chr1:925441-925990	chr1	925441	925990	SAMD11
genic|chr4:5608918-5609772	chr4	5608918	5609772	EVC2
intergenic|chr8:11699407-11699907	chr8	11699407	11699907	GATA4
genic|chr4:5561728-5562873	chr4	5561728	5562873	EVC2
intergenic|chr8:11699405-11699905	chr8	11699405	11699905	GATA4
genic|chr14:23378669-23379169	chr14	23378669	23379169	MYH7
intergenic|chr19:55151255-55151755	chr19	55151255	55151755	TNNI3
genic|chr14:23378663-23380619	chr14	23378663	23380619	MYH7
promoter|chr5:122076604-122078751	chr5	122076604	122078751	LOX
intergenic|chr4:173505784-173506284	chr4	173505784	173506284	HAND2
genic|chr14:23420615-23421115	chr14	23420615	23421115	MYH6
intergenic|chr8:11699400-11699900	chr8	11699400	11699900	GATA4
genic|chr14:23378557-23380564	chr14	23378557	23380564	MYH7
genic|chr14:23378073-23379287	chr14	23378073	23379287	MYH7
genic|chr14:23378051-23380573	chr14	23378051	23380573	MYH7
genic|chr20:10671341-10671841	chr20	10671341	10671841	JAG1
promoter|chr1:925432-925990	chr1	925432	925990	SAMD11
promoter|chr4:55124692-55125192	chr4	55124692	55125192	KDR
genic|chr14:23377955-23379228	chr14	23377955	23379228	MYH7
genic|chr14:23377937-23379207	chr14	23377937	23379207	MYH7
promoter|chr4:55124690-55125190	chr4	55124690	55125190	KDR
promoter|chr1:925431-925990	chr1	925431	925990	SAMD11
intergenic|chr8:60651479-60652567	chr8	60651479	60652567	CHD7
genic|chr4:5705801-5706301	chr4	5705801	5706301	EVC2
intergenic|chr19:55151244-55151744	chr19	55151244	55151744	TNNI3
genic|chr4:5705795-5706295	chr4	5705795	5706295	EVC2
genic|chr11:61717952-61718949	chr11	61717952	61718949	MYRF
genic|chr14:23416825-23418643	chr14	23416825	23418643	MYH7
genic|chr14:23416827-23418666	chr14	23416827	23418666	MYH7
genic|chr4:5705792-5706292	chr4	5705792	5706292	EVC2
genic|chr14:23416833-23418643	chr14	23416833	23418643	MYH7
genic|chr4:5705780-5706453	chr4	5705780	5706453	EVC2
genic|chr4:5705526-5706405	chr4	5705526	5706405	EVC2
genic|chr14:23379283-23380628	chr14	23379283	23380628	MYH7
intergenic|chr4:165864185-165864685	chr4	165864185	165864685	TLL1
genic|chr14:23416845-23418132	chr14	23416845	23418132	MYH7
genic|chr4:5705091-5705591	chr4	5705091	5705591	EVC2
genic|chr4:5700774-5701274	chr4	5700774	5701274	EVC2
intergenic|chr4:165864172-165864672	chr4	165864172	165864672	TLL1
intergenic|chr7:35260260-35260760	chr7	35260260	35260760	TBX20
intergenic|chr7:35260264-35260764	chr7	35260264	35260764	TBX20
intergenic|chr4:173505773-173506273	chr4	173505773	173506273	HAND2
genic|chr14:23379343-23379843	chr14	23379343	23379843	MYH7
genic|chr14:23379342-23380370	chr14	23379342	23380370	MYH7
genic|chr14:23379288-23380636	chr14	23379288	23380636	MYH7
genic|chr14:23416843-23418682	chr14	23416843	23418682	MYH7
promoter|chr5:122077681-122078751	chr5	122077681	122078751	LOX
promoter|chr20:62475720-62476352	chr20	62475720	62476352	GATA5
intergenic|chr8:11697656-11698156	chr8	11697656	11698156	GATA4
promoter|chr1:925417-925990	chr1	925417	925990	SAMD11
promoter|chr5:122077706-122078751	chr5	122077706	122078751	LOX
genic|chr9:136539014-136539514	chr9	136539014	136539514	NOTCH1
genic|chr9:136539033-136539533	chr9	136539033	136539533	NOTCH1
intergenic|chr19:8050516-8051016	chr19	8050516	8051016	FBN3
genic|chr11:61693864-61694364	chr11	61693864	61694364	MYRF
genic|chr14:103576566-103577066	chr14	103576566	103577066	BAG5
genic|chr14:23377923-23379814	chr14	23377923	23379814	MYH7
promoter|chr1:924873-925373	chr1	924873	925373	SAMD11
promoter|chr1:924768-925268	chr1	924768	925268	SAMD11
promoter|chr1:924767-925267	chr1	924767	925267	SAMD11
genic|chr14:23420516-23421124	chr14	23420516	23421124	MYH7
intergenic|chr10:70456127-70456627	chr10	70456127	70456627	NODAL
genic|chr14:103576564-103577064	chr14	103576564	103577064	BAG5
promoter|chr4:48780049-48780674	chr4	48780049	48780674	FRYL
promoter|chr4:48780049-48780665	chr4	48780049	48780665	FRYL
promoter|chr4:48780049-48780648	chr4	48780049	48780648	FRYL
promoter|chr4:48780049-48780647	chr4	48780049	48780647	FRYL
intergenic|chr19:8154763-8155263	chr19	8154763	8155263	FBN3
genic|chr14:103576565-103577065	chr14	103576565	103577065	BAG5
genic|chr14:23377894-23379091	chr14	23377894	23379091	MYH7
intergenic|chr19:13162763-13163263	chr19	13162763	13163263	CACNA1A
intergenic|chr7:35260270-35260770	chr7	35260270	35260770	TBX20
genic|chr14:23377658-23380631	chr14	23377658	23380631	MYH7
intergenic|chr7:35260275-35260775	chr7	35260275	35260775	TBX20
genic|chr14:23377654-23379102	chr14	23377654	23379102	MYH7
intergenic|chr3:142976558-142977058	chr3	142976558	142977058	U2SURP
genic|chr3:71245873-71246373	chr3	71245873	71246373	FOXP1
intergenic|chr7:35260280-35260780	chr7	35260280	35260780	TBX20
intergenic|chr3:142976559-142977059	chr3	142976559	142977059	U2SURP
promoter|chr4:55124662-55125162	chr4	55124662	55125162	KDR
promoter|chr4:55124612-55125112	chr4	55124612	55125112	KDR
intergenic|chr7:35260285-35260785	chr7	35260285	35260785	TBX20
promoter|chr1:925428-925990	chr1	925428	925990	SAMD11
promoter|chr1:925426-925990	chr1	925426	925990	SAMD11
intergenic|chr4:173505791-173506291	chr4	173505791	173506291	HAND2
intergenic|chr3:142976561-142977061	chr3	142976561	142977061	U2SURP
promoter|chr20:62475720-62476329	chr20	62475720	62476329	GATA5
promoter|chr1:925420-925990	chr1	925420	925990	SAMD11
promoter|chr4:55124640-55125140	chr4	55124640	55125140	KDR
genic|chr4:55116515-55117015	chr4	55116515	55117015	KDR
intergenic|chr3:142976562-142977062	chr3	142976562	142977062	U2SURP
promoter|chr20:62475720-62476348	chr20	62475720	62476348	GATA5
intergenic|chr8:11697798-11698298	chr8	11697798	11698298	GATA4
genic|chr1:44425277-44425777	chr1	44425277	44425777	RNF220
promoter|chr3:123884052-123884648	chr3	123884052	123884648	MYLK
intergenic|chr16:89505356-89505856	chr16	89505356	89505856	ANKRD11
promoter|chr3:123884052-123884653	chr3	123884052	123884653	MYLK
promoter|chr3:123884052-123884658	chr3	123884052	123884658	MYLK
genic|chr1:44425282-44425782	chr1	44425282	44425782	RNF220
intergenic|chr16:89505357-89505857	chr16	89505357	89505857	ANKRD11
intergenic|chr16:89505361-89505861	chr16	89505361	89505861	ANKRD11
promoter|chr3:123884052-123884664	chr3	123884052	123884664	MYLK
intergenic|chr16:89505364-89505864	chr16	89505364	89505864	ANKRD11
intergenic|chr7:74012827-74013327	chr7	74012827	74013327	ELN
promoter|chr3:123884052-123884677	chr3	123884052	123884677	MYLK
genic|chr9:130860756-130861256	chr9	130860756	130861256	ABL1
intergenic|chr16:89505365-89505865	chr16	89505365	89505865	ANKRD11
promoter|chr3:123884052-123884683	chr3	123884052	123884683	MYLK
intergenic|chr3:46848355-46848855	chr3	46848355	46848855	MYL3
intergenic|chr3:46848369-46848869	chr3	46848369	46848869	MYL3
intergenic|chr17:40539656-40540156	chr17	40539656	40540156	SMARCE1
genic|chr12:121533017-121533517	chr12	121533017	121533517	KDM2B
intergenic|chr7:74007905-74008405	chr7	74007905	74008405	ELN
genic|chr12:121533012-121533512	chr12	121533012	121533512	KDM2B
intergenic|chr17:40539648-40540148	chr17	40539648	40540148	SMARCE1
intergenic|chr17:40539644-40540144	chr17	40539644	40540144	SMARCE1
genic|chr12:121532999-121533499	chr12	121532999	121533499	KDM2B
genic|chr12:121532997-121533497	chr12	121532997	121533497	KDM2B
promoter|chr3:123884052-123884681	chr3	123884052	123884681	MYLK
genic|chr4:165874647-165875147	chr4	165874647	165875147	TLL1
genic|chr1:44423531-44424031	chr1	44423531	44424031	RNF220
genic|chr1:44423536-44424036	chr1	44423536	44424036	RNF220
intergenic|chr17:40619854-40620354	chr17	40619854	40620354	SMARCE1
promoter|chr3:52453791-52454344	chr3	52453791	52454344	TNNC1
promoter|chr3:52453791-52454342	chr3	52453791	52454342	TNNC1
genic|chr4:165874642-165875142	chr4	165874642	165875142	TLL1
promoter|chr3:52453791-52454341	chr3	52453791	52454341	TNNC1
genic|chr1:44423546-44424046	chr1	44423546	44424046	RNF220
promoter|chr3:52453791-52454339	chr3	52453791	52454339	TNNC1
intergenic|chr16:89505332-89505832	chr16	89505332	89505832	ANKRD11
promoter|chr3:123883527-123884027	chr3	123883527	123884027	MYLK
intergenic|chr7:74012850-74013350	chr7	74012850	74013350	ELN
promoter|chr3:123883528-123884028	chr3	123883528	123884028	MYLK
promoter|chr3:123883529-123884029	chr3	123883529	123884029	MYLK
promoter|chr3:123883532-123884032	chr3	123883532	123884032	MYLK
intergenic|chr7:74013897-74014397	chr7	74013897	74014397	ELN
genic|chr1:44423595-44424095	chr1	44423595	44424095	RNF220
genic|chr1:44423636-44424136	chr1	44423636	44424136	RNF220
promoter|chr3:123884052-123884629	chr3	123884052	123884629	MYLK
promoter|chr3:123884052-123884632	chr3	123884052	123884632	MYLK
promoter|chr3:123884052-123884636	chr3	123884052	123884636	MYLK
intergenic|chr16:89505351-89505851	chr16	89505351	89505851	ANKRD11
promoter|chr3:123884052-123884638	chr3	123884052	123884638	MYLK
intergenic|chr7:74012854-74013354	chr7	74012854	74013354	ELN
promoter|chr3:123884052-123884643	chr3	123884052	123884643	MYLK
intergenic|chr16:89505349-89505849	chr16	89505349	89505849	ANKRD11
genic|chrX:40094288-40094788	chrX	40094288	40094788	BCOR
intergenic|chr17:39621860-39622360	chr17	39621860	39622360	TCAP
genic|chr12:121467721-121468221	chr12	121467721	121468221	KDM2B
intergenic|chr7:73991990-73992490	chr7	73991990	73992490	ELN
intergenic|chr10:110642962-110643462	chr10	110642962	110643462	RBM20
intergenic|chr17:31008356-31008856	chr17	31008356	31008856	NF1
promoter|chr3:132722209-132722969	chr3	132722209	132722969	NPHP3
promoter|chr3:132722209-132722970	chr3	132722209	132722970	NPHP3
intergenic|chr3:46866122-46866622	chr3	46866122	46866622	MYL3
genic|chr12:114395963-114396463	chr12	114395963	114396463	TBX5
genic|chr12:121467177-121467677	chr12	121467177	121467677	KDM2B
genic|chr12:121467175-121467675	chr12	121467175	121467675	KDM2B
intergenic|chr17:40539639-40540139	chr17	40539639	40540139	SMARCE1
intergenic|chr16:89506172-89506672	chr16	89506172	89506672	ANKRD11
genic|chr12:121467173-121467673	chr12	121467173	121467673	KDM2B
genic|chr12:121467169-121467669	chr12	121467169	121467669	KDM2B
genic|chrX:44874505-44875005	chrX	44874505	44875005	KDM6A
genic|chr12:121467158-121467658	chr12	121467158	121467658	KDM2B
promoter|chr3:41199825-41200325	chr3	41199825	41200325	CTNNB1
promoter|chr3:41199805-41200305	chr3	41199805	41200305	CTNNB1
intergenic|chr3:46866657-46867157	chr3	46866657	46867157	MYL3
promoter|chr3:41199803-41200303	chr3	41199803	41200303	CTNNB1
genic|chr12:121467148-121467648	chr12	121467148	121467648	KDM2B
promoter|chr3:41199796-41200296	chr3	41199796	41200296	CTNNB1
genic|chrX:44874527-44875027	chrX	44874527	44875027	KDM6A
promoter|chr3:132722209-132723077	chr3	132722209	132723077	NPHP3
intergenic|chr16:89506146-89506646	chr16	89506146	89506646	ANKRD11
intergenic|chr17:40538373-40538873	chr17	40538373	40538873	SMARCE1
intergenic|chr16:89505367-89505867	chr16	89505367	89505867	ANKRD11
intergenic|chr16:89505368-89505868	chr16	89505368	89505868	ANKRD11
intergenic|chr7:74006615-74007115	chr7	74006615	74007115	ELN
intergenic|chr16:89505370-89505870	chr16	89505370	89505870	ANKRD11
intergenic|chr17:40538370-40538870	chr17	40538370	40538870	SMARCE1
genic|chr1:44496488-44496988	chr1	44496488	44496988	RNF220
intergenic|chr16:89505371-89505871	chr16	89505371	89505871	ANKRD11
intergenic|chr17:40538366-40538866	chr17	40538366	40538866	SMARCE1
genic|chr4:165691152-165691652	chr4	165691152	165691652	TLL1
genic|chr1:44496503-44497003	chr1	44496503	44497003	RNF220
genic|chrX:40091574-40092074	chrX	40091574	40092074	BCOR
intergenic|chr17:39621871-39622371	chr17	39621871	39622371	TCAP
promoter|chr3:46863233-46863800	chr3	46863233	46863800	MYL3
intergenic|chr10:110642993-110643493	chr10	110642993	110643493	RBM20
genic|chr1:77889167-77889667	chr1	77889167	77889667	NEXN
genic|chr1:77889165-77889665	chr1	77889165	77889665	NEXN
promoter|chr3:46863233-46863785	chr3	46863233	46863785	MYL3
promoter|chr3:12663437-12664466	chr3	12663437	12664466	RAF1
genic|chr1:44496549-44497049	chr1	44496549	44497049	RNF220
intergenic|chr10:110642965-110643465	chr10	110642965	110643465	RBM20
genic|chr1:44500563-44501063	chr1	44500563	44501063	RNF220
intergenic|chr3:46852830-46853330	chr3	46852830	46853330	MYL3
intergenic|chr10:110642964-110643464	chr10	110642964	110643464	RBM20
intergenic|chr3:46852842-46853342	chr3	46852842	46853342	MYL3
intergenic|chr17:39621873-39622373	chr17	39621873	39622373	TCAP
genic|chr1:77889178-77889678	chr1	77889178	77889678	NEXN
promoter|chr2:39120835-39121335	chr2	39120835	39121335	SOS1
genic|chr4:173528814-173529314	chr4	173528814	173529314	HAND2
genic|chr12:121576813-121577313	chr12	121576813	121577313	KDM2B
genic|chr12:121576803-121577303	chr12	121576803	121577303	KDM2B
genic|chr1:44417249-44417749	chr1	44417249	44417749	RNF220
promoter|chr2:39120853-39121353	chr2	39120853	39121353	SOS1
genic|chr4:173528792-173529292	chr4	173528792	173529292	HAND2
intergenic|chr7:5554937-5555437	chr7	5554937	5555437	ACTB
genic|chr12:121576195-121576695	chr12	121576195	121576695	KDM2B
genic|chr12:121576194-121576694	chr12	121576194	121576694	KDM2B
genic|chrX:40081634-40082134	chrX	40081634	40082134	BCOR
intergenic|chr7:5554938-5555438	chr7	5554938	5555438	ACTB
genic|chr12:114392807-114393307	chr12	114392807	114393307	TBX5
genic|chrX:40081640-40082140	chrX	40081640	40082140	BCOR
genic|chr1:44417268-44417768	chr1	44417268	44417768	RNF220
intergenic|chr16:86563751-86564251	chr16	86563751	86564251	FOXC2
genic|chrX:40081655-40082155	chrX	40081655	40082155	BCOR
promoter|chr2:42792329-42792861	chr2	42792329	42792861	HAAO
intergenic|chr3:41158371-41158871	chr3	41158371	41158871	CTNNB1
promoter|chr2:42792352-42792861	chr2	42792352	42792861	HAAO
intergenic|chr7:92424260-92424988	chr7	92424260	92424988	GATAD1
genic|chr1:77978059-77978559	chr1	77978059	77978559	NEXN
intergenic|chr7:5554940-5555440	chr7	5554940	5555440	ACTB
intergenic|chr7:5554942-5555442	chr7	5554942	5555442	ACTB
intergenic|chr10:119680524-119681024	chr10	119680524	119681024	BAG3
intergenic|chr3:41193684-41194184	chr3	41193684	41194184	CTNNB1
intergenic|chr3:41117344-41117844	chr3	41117344	41117844	CTNNB1
genic|chr3:9932733-9933233	chr3	9932733	9933233	CRELD1
intergenic|chr3:38655653-38656153	chr3	38655653	38656153	SCN5A
intergenic|chr7:5554921-5555421	chr7	5554921	5555421	ACTB
genic|chr1:44408565-44409065	chr1	44408565	44409065	RNF220
intergenic|chr7:5554925-5555425	chr7	5554925	5555425	ACTB
intergenic|chr7:5554928-5555428	chr7	5554928	5555428	ACTB
intergenic|chr3:38655657-38656157	chr3	38655657	38656157	SCN5A
intergenic|chr3:38655658-38656158	chr3	38655658	38656158	SCN5A
genic|chr3:9932747-9933247	chr3	9932747	9933247	CRELD1
intergenic|chr16:86563742-86564242	chr16	86563742	86564242	FOXC2
intergenic|chr10:119686410-119686910	chr10	119686410	119686910	BAG3
intergenic|chr3:38655660-38656160	chr3	38655660	38656160	SCN5A
intergenic|chr3:40877817-40878317	chr3	40877817	40878317	CTNNB1
genic|chr12:121578436-121578936	chr12	121578436	121578936	KDM2B
intergenic|chr7:5554934-5555434	chr7	5554934	5555434	ACTB
genic|chr12:121578433-121578933	chr12	121578433	121578933	KDM2B
intergenic|chr3:38655670-38656170	chr3	38655670	38656170	SCN5A
genic|chr1:44408590-44409090	chr1	44408590	44409090	RNF220
genic|chr12:121578417-121578917	chr12	121578417	121578917	KDM2B
genic|chr1:44408711-44409211	chr1	44408711	44409211	RNF220
genic|chr1:44408722-44409222	chr1	44408722	44409222	RNF220
intergenic|chr7:5554935-5555435	chr7	5554935	5555435	ACTB
genic|chrX:154373432-154373932	chrX	154373432	154373932	FLNA
genic|chr3:9932752-9933252	chr3	9932752	9933252	CRELD1
genic|chr1:44408725-44409225	chr1	44408725	44409225	RNF220
promoter|chr2:39120213-39120715	chr2	39120213	39120715	SOS1
genic|chr12:121578438-121578938	chr12	121578438	121578938	KDM2B
intergenic|chr7:5554949-5555449	chr7	5554949	5555449	ACTB
intergenic|chr7:5554951-5555451	chr7	5554951	5555451	ACTB
intergenic|chr7:5554967-5555467	chr7	5554967	5555467	ACTB
genic|chr4:165874682-165875182	chr4	165874682	165875182	TLL1
intergenic|chr7:74021892-74022392	chr7	74021892	74022392	ELN
intergenic|chr3:52490806-52491306	chr3	52490806	52491306	TNNC1
genic|chr4:165874672-165875172	chr4	165874672	165875172	TLL1
promoter|chr2:73926572-73927075	chr2	73926572	73927075	DGUOK
intergenic|chr3:52490803-52491303	chr3	52490803	52491303	TNNC1
intergenic|chr17:40619923-40620423	chr17	40619923	40620423	SMARCE1
genic|chr4:165874658-165875158	chr4	165874658	165875158	TLL1
genic|chr12:121537627-121538127	chr12	121537627	121538127	KDM2B
intergenic|chr3:41193691-41194191	chr3	41193691	41194191	CTNNB1
genic|chr1:77900634-77901134	chr1	77900634	77901134	NEXN
genic|chr1:77900631-77901131	chr1	77900631	77901131	NEXN
promoter|chr2:73926575-73927079	chr2	73926575	73927079	DGUOK
promoter|chr2:73926575-73927080	chr2	73926575	73927080	DGUOK
genic|chr12:121537613-121538113	chr12	121537613	121538113	KDM2B
genic|chr1:77900627-77901127	chr1	77900627	77901127	NEXN
intergenic|chr17:40619889-40620389	chr17	40619889	40620389	SMARCE1
genic|chr1:77900624-77901124	chr1	77900624	77901124	NEXN
genic|chr1:77900622-77901122	chr1	77900622	77901122	NEXN
intergenic|chr16:86576546-86577046	chr16	86576546	86577046	FOXC2
intergenic|chr7:5555875-5556375	chr7	5555875	5556375	ACTB
promoter|chr3:52453791-52454613	chr3	52453791	52454613	TNNC1
genic|chr1:44423522-44424022	chr1	44423522	44424022	RNF220
promoter|chr2:73926575-73927075	chr2	73926575	73927075	DGUOK
intergenic|chr3:41193693-41194193	chr3	41193693	41194193	CTNNB1
intergenic|chr3:41193696-41194196	chr3	41193696	41194196	CTNNB1
genic|chr4:165880604-165881104	chr4	165880604	165881104	TLL1
intergenic|chr3:41195910-41196410	chr3	41195910	41196410	CTNNB1
intergenic|chr7:74079121-74079621	chr7	74079121	74079621	ELN
intergenic|chr7:74079120-74079620	chr7	74079120	74079620	ELN
genic|chr1:77978051-77978551	chr1	77978051	77978551	NEXN
genic|chr4:165880598-165881098	chr4	165880598	165881098	TLL1
genic|chr4:165880596-165881096	chr4	165880596	165881096	TLL1
genic|chr1:77978050-77978550	chr1	77978050	77978550	NEXN
intergenic|chr3:41195933-41196433	chr3	41195933	41196433	CTNNB1
intergenic|chr7:74026748-74027248	chr7	74026748	74027248	ELN
genic|chr4:165877249-165877749	chr4	165877249	165877749	TLL1
intergenic|chr3:41195936-41196436	chr3	41195936	41196436	CTNNB1
intergenic|chr7:74026738-74027238	chr7	74026738	74027238	ELN
intergenic|chr3:41195937-41196437	chr3	41195937	41196437	CTNNB1
genic|chr12:114381130-114381630	chr12	114381130	114381630	TBX5
intergenic|chr10:119680510-119681010	chr10	119680510	119681010	BAG3
intergenic|chr3:41195942-41196442	chr3	41195942	41196442	CTNNB1
intergenic|chr7:5554946-5555446	chr7	5554946	5555446	ACTB
intergenic|chr3:41195944-41196444	chr3	41195944	41196444	CTNNB1
